#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
93	NM_001160139	chr1	-	21398402	21961942	21402162	21961581	15	21398402,21404931,21405792,21424048,21457403,21461550,21466382,21469469,21479373,21487222,21505299,21505683,21535060,21593523,21961180,	21403125,21405058,21405924,21424157,21457624,21461607,21466409,21469564,21479469,21487333,21505425,21505859,21535187,21593614,21961942,	0	Kcnq5	cmpl	cmpl	0,2,2,1,2,2,2,0,0,0,0,1,0,2,0,
94	NM_001012623	chr1	-	22285972	22806158	22288421	22805724	30	22285972,22290059,22291012,22292821,22296857,22346292,22373343,22379427,22397450,22404443,22421740,22425870,22427461,22428464,22432771,22468190,22472724,22475687,22479434,22483153,22484641,22486587,22533398,22534005,22538285,22594092,22596370,22630411,22726929,22805560,	22288640,22290199,22291114,22292934,22296996,22346528,22373510,22379540,22397563,22404515,22421830,22425933,22427587,22428621,22432843,22468321,22472837,22475734,22479558,22483253,22484752,22486652,22533471,22534240,22538623,22594104,22596584,22630480,22727010,22806158,	0	Rims1	cmpl	cmpl	0,1,1,2,1,2,0,1,2,2,2,2,2,1,1,0,1,2,1,0,0,1,0,2,0,0,2,2,2,0,
96	NM_007733	chr1	-	24257682	24587437	24264689	24575423	51	24257682,24264964,24270365,24279931,24282416,24285052,24285253,24289666,24289827,24293071,24296759,24300592,24301274,24301399,24303455,24306259,24307645,24312046,24312311,24312447,24315397,24317391,24317532,24317689,24322032,24322213,24322938,24323681,24325249,24325978,24326130,24328035,24332429,24337897,24352281,24374582,24410195,24451761,24453743,24461475,24508183,24510842,24525603,24526384,24529927,24534032,24536878,24559653,24561302,24575332,24587349,	24264817,24265042,24270494,24279998,24282587,24285097,24285289,24289729,24289872,24293116,24296813,24300619,24301319,24301450,24303500,24306313,24307699,24312100,24312365,24312552,24315439,24317445,24317586,24317725,24322110,24322258,24323028,24323735,24325303,24326032,24326166,24328071,24332492,24337939,24352335,24374636,24410249,24451797,24453797,24461529,24508228,24510887,24525666,24526510,24530008,24534308,24537002,24559753,24561368,24575459,24587437,	0	Col19a1	cmpl	cmpl	1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,-1,
105	NM_011206	chr1	+	34459745	34473779	34459823	34473646	15	34459745,34462701,34463106,34463268,34463465,34468292,34469839,34470199,34471492,34471640,34471811,34472102,34472762,34473334,34473578,	34459916,34462810,34463183,34463364,34463504,34468361,34469902,34470342,34471559,34471718,34471901,34472191,34472968,34473409,34473779,	0	Ptpn18	cmpl	cmpl	0,0,1,0,0,0,0,0,2,0,0,0,2,1,1,
108	NM_030266	chr1	+	37299837	37410740	37357918	37408259	26	37299837,37357342,37357814,37358507,37364109,37366162,37366538,37366869,37367756,37368276,37369357,37371701,37372310,37374271,37377577,37378840,37379921,37383338,37387697,37388786,37389649,37390048,37392942,37396069,37398765,37408126,	37300118,37357404,37358024,37358552,37364228,37366279,37366618,37366981,37367847,37368424,37369488,37371806,37372419,37374289,37377761,37379059,37380060,37383371,37387870,37388910,37389776,37390189,37393040,37396182,37398920,37410740,	0	Inpp4a	cmpl	cmpl	-1,-1,0,1,1,0,0,2,0,1,2,1,1,2,2,0,0,1,1,0,1,2,2,1,0,2,
108	NM_028096	chr1	-	37611675	37719811	37612256	37644630	10	37611675,37613336,37614480,37623760,37628216,37631320,37631815,37637860,37644560,37719569,	37612396,37613481,37614668,37626068,37628426,37631482,37631951,37638029,37644640,37719811,	0	Cracdl	cmpl	cmpl	1,0,1,0,0,0,2,1,0,-1,
110	NM_008719	chr1	+	39194271	39363240	39263343	39362007	21	39194271,39263318,39287467,39292686,39300643,39311840,39312954,39324439,39325295,39326087,39328306,39330936,39333809,39334702,39335994,39338052,39345268,39347490,39348431,39359648,39361854,	39194742,39263375,39287616,39292778,39300733,39311961,39313068,39324558,39325378,39326194,39328454,39331021,39333951,39334812,39336096,39338199,39345466,39347681,39348524,39359823,39363240,	0	Npas2	cmpl	cmpl	-1,0,2,1,0,0,1,1,0,2,1,2,0,1,0,0,0,0,2,2,0,
110	NM_018775	chr1	-	39371495	39478747	39372348	39478566	20	39371495,39373726,39374081,39376423,39376877,39379454,39379994,39380227,39381276,39385120,39385997,39389307,39391116,39392056,39394064,39402682,39405290,39406751,39426067,39478439,	39372786,39373824,39374171,39376489,39377118,39379523,39380093,39380357,39381562,39385238,39386212,39389458,39391287,39392254,39394272,39402923,39405519,39406870,39426178,39478747,	0	Tbc1d8	cmpl	cmpl	0,1,1,1,0,0,0,2,1,0,1,0,0,0,2,1,0,1,1,0,
111	NM_001033289	chr1	+	40681711	40768885	40681873	40767999	12	40681711,40718594,40726207,40742619,40743802,40755708,40756258,40761900,40763542,40765564,40766242,40767625,	40682165,40719058,40726458,40742837,40744005,40755798,40756329,40762062,40763639,40765696,40766333,40768885,	0	Slc9a2	cmpl	cmpl	0,1,0,2,1,0,0,2,2,0,0,1,
115	NM_028450	chr1	+	44551670	44796836	44689187	44795021	11	44551670,44689143,44708616,44744473,44754342,44766013,44773270,44774052,44780967,44788447,44794949,	44551872,44689215,44708678,44744545,44754441,44766151,44773387,44774145,44781106,44788542,44796836,	0	Gulp1	cmpl	cmpl	-1,0,1,0,0,0,0,0,0,1,0,
121	NM_019790	chr1	+	50927522	51187270	50927947	51185481	10	50927522,50930548,50938212,50943196,51071467,51132142,51133058,51180251,51181736,51185384,	50928119,50930658,50938342,50943223,51071564,51132291,51133118,51180375,51181895,51187270,	0	Tmeff2	cmpl	cmpl	0,1,0,1,1,2,1,1,2,2,
123	NM_133829	chr1	-	52656304	52727318	52658341	52709704	7	52656304,52660806,52662389,52663284,52676477,52708163,52727022,	52658545,52661087,52662488,52663446,52676575,52709755,52727318,	0	Mfsd6	cmpl	cmpl	0,1,1,1,2,0,-1,
124	NM_001001883	chr1	-	53806873	54195034	53813221	54040492	29	53806873,53826875,53827884,53830641,53831509,53832621,53839011,53840713,53851572,53853168,53865040,53868835,53885328,53887582,53891125,53904248,53913240,53913766,53914481,53923898,53925309,53927064,53930969,53933118,53937057,53942705,53950813,54040200,54194975,	53813333,53826988,53827970,53830756,53831656,53832751,53839110,53840866,53851686,53853289,53865150,53868919,53885425,53887685,53891260,53904434,53913365,53913870,53914632,53923994,53926683,53927165,53931109,53933288,53937133,53942800,53950921,54040527,54195034,	0	Hecw2	cmpl	cmpl	2,0,1,0,0,2,2,2,2,1,2,2,1,0,0,0,1,2,1,1,1,2,0,1,0,1,1,0,-1,
125	NM_001113367	chr1	-	55299734	55362728	55300068	55340589	10	55299734,55304497,55305675,55323649,55340472,55346376,55348880,55355647,55360615,55362481,	55300185,55304626,55305723,55323721,55340600,55346452,55348935,55355739,55360759,55362728,	0	Boll	cmpl	cmpl	0,0,0,0,0,-1,-1,-1,-1,-1,
127	NM_139146	chr1	-	56793980	56971334	56796782	56969821	11	56793980,56831438,56845575,56850170,56871311,56891162,56897945,56898990,56948078,56969652,56971111,	56797244,56831636,56845731,56850383,56871784,56891265,56898069,56899117,56948255,56969880,56971334,	0	Satb2	cmpl	cmpl	0,0,0,0,1,0,2,1,1,0,-1,
130	NM_027407	chr1	-	59989067	60043122	59991123	60028229	11	59989067,59997450,60003655,60006233,60007807,60010108,60013819,60015711,60022577,60028067,60042796,	59991239,59997711,60003705,60006319,60007906,60010234,60014018,60015835,60022650,60028236,60043122,	0	Ica1l	cmpl	cmpl	1,1,2,0,0,0,2,1,0,0,-1,
132	NM_001077403	chr1	+	62703316	62818692	62704204	62815637	17	62703316,62718929,62738288,62744174,62745357,62747157,62749132,62760774,62762690,62764849,62768999,62771704,62783293,62785044,62786280,62812533,62815332,	62704277,62719107,62738470,62744405,62745513,62747327,62749288,62760919,62763040,62764994,62769116,62771845,62783556,62785141,62786316,62812584,62818692,	0	Nrp2	cmpl	cmpl	0,1,2,1,1,1,0,0,1,0,1,1,1,0,1,1,1,
133	NM_001267872	chr1	+	63273268	63314575	63290737	63309945	6	63273268,63277930,63280766,63290646,63294915,63302639,	63273472,63277983,63280877,63290782,63295046,63314575,	0	Zdbf2	cmpl	cmpl	-1,-1,-1,0,0,2,
142	NM_001045533	chr1	-	72427111	72537159	72428641	72535137	4	72427111,72447155,72452441,72534624,	72429009,72447348,72452597,72537159,	0	Marchf4	cmpl	cmpl	1,0,0,0,
143	NM_027884	chr1	-	73910231	74124548	73914529	74124447	35	73910231,73916438,73916865,73917632,73917997,73919653,73920506,73920957,73921766,73924705,73927911,73935897,73936331,73937224,73940977,73941909,73952420,73980913,73982232,73985018,73985702,73985874,73986262,73990310,73991674,73992099,73993162,73995200,73997048,74002286,74003516,74016144,74068608,74079198,74124291,	73914674,73916471,73916934,73917801,73918069,73919731,73920599,73921089,73921853,73925769,73928110,73935936,73936355,73937317,73941053,73942106,73953950,73981030,73982298,73985148,73985778,73985935,73986375,73990394,73991739,73992222,73993213,73995381,73997104,74002337,74003558,74016186,74068646,74079313,74124548,	0	Tns1	cmpl	cmpl	2,2,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,2,1,2,2,0,0,0,2,0,0,0,0,1,0,0,
144	NM_010043	chr1	+	75360291	75368579	75360417	75367050	9	75360291,75362157,75362312,75362564,75362893,75363470,75365327,75366759,75367008,	75360992,75362218,75362408,75362726,75363019,75363691,75365371,75366842,75368579,	0	Des	cmpl	cmpl	0,2,0,0,0,0,2,1,0,
146	NM_007936	chr1	-	77367184	77515088	77373732	77515031	18	77367184,77372909,77374770,77377413,77380863,77382868,77383522,77387796,77388472,77390032,77398493,77399637,77401199,77426550,77444864,77506547,77511682,77514940,	77369671,77373847,77374926,77377607,77381013,77383078,77383584,77387982,77388586,77390091,77398605,77399797,77401324,77426889,77445020,77507211,77511750,77515088,	0	Epha4	cmpl	cmpl	-1,2,2,0,0,0,1,1,1,2,1,0,1,1,1,0,1,0,
147	NM_001159520	chr1	-	78101266	78197136	78102800	78196749	9	78101266,78103327,78121577,78122590,78132227,78192441,78193739,78195250,78196664,	78102835,78103574,78121792,78122756,78132433,78192576,78193869,78195486,78197136,	0	Pax3	cmpl	cmpl	1,0,1,0,1,1,0,1,0,
147	NM_026713	chr1	+	78511059	78538173	78511961	78538098	7	78511059,78511867,78522684,78523573,78527569,78529052,78537943,	78511088,78512055,78522863,78523778,78527744,78529252,78538173,	0	Mogat1	cmpl	cmpl	-1,0,1,0,1,2,1,
147	NM_001004173	chr1	+	78310345	78420286	78310418	78417426	5	78310345,78360070,78390474,78393358,78416874,	78310502,78360229,78390654,78393448,78420286,	0	Sgpp2	cmpl	cmpl	0,0,0,0,0,
149	NM_009255	chr1	-	79794320	79858665	79795004	79821535	9	79794320,79796825,79799467,79801455,79802846,79810553,79816727,79821276,79858510,	79795042,79796909,79799554,79801556,79803045,79810751,79816955,79821557,79858665,	0	Serpine2	cmpl	cmpl	1,1,1,2,1,1,1,0,-1,
151	NM_007734	chr1	+	82586920	82722059	82587344	82718884	52	82586920,82641438,82643208,82648577,82649755,82650560,82651253,82652160,82653300,82654953,82655125,82656850,82657145,82660223,82660825,82662201,82662895,82664576,82666520,82666894,82668919,82669671,82670174,82671306,82672596,82673978,82675908,82676665,82678566,82679078,82679548,82680679,82682285,82682702,82689106,82689985,82690520,82693418,82696255,82696679,82697739,82700237,82700756,82708589,82710799,82710958,82711839,82715241,82716011,82716297,82717832,82718799,	82587431,82641495,82643298,82648622,82649800,82650623,82651307,82652187,82653378,82655016,82655161,82656892,82657223,82660286,82660885,82662246,82662949,82664618,82666605,82666930,82669084,82669761,82670270,82671377,82672779,82674147,82676001,82676767,82678664,82679229,82679662,82680847,82682375,82682837,82689205,82690075,82690660,82693545,82696336,82696778,82697787,82700423,82700887,82708662,82710871,82711084,82711938,82715454,82716189,82716412,82718005,82722059,	0	Col4a3	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,0,2,
151	NM_007735	chr1	-	82450722	82586849	82453130	82571415	48	82450722,82453776,82455722,82456778,82462050,82462326,82466486,82469478,82470982,82471188,82472477,82479857,82480481,82484390,82485580,82486482,82487511,82489010,82489699,82491524,82492447,82493492,82495770,82497153,82497827,82498934,82506945,82509167,82518928,82523850,82524986,82525864,82527528,82528451,82528751,82529564,82531357,82531599,82532916,82534594,82535740,82539030,82539953,82541169,82563402,82569803,82571368,82586618,	82453394,82454063,82455911,82456895,82462178,82462332,82466595,82469634,82471096,82471317,82472549,82479965,82480589,82484465,82485644,82486664,82487616,82489154,82489870,82491686,82492666,82493600,82495839,82497337,82497934,82499007,82507109,82509257,82519093,82523955,82525056,82525918,82527573,82528511,82528805,82529645,82531399,82531635,82532979,82534630,82535809,82539147,82539998,82541304,82563480,82569846,82571535,82586849,	0	Col4a4	cmpl	cmpl	0,1,1,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,
156	NM_028889	chr1	+	87264352	87310841	87264449	87309795	4	87264352,87289467,87297628,87309660,	87264754,87289615,87297763,87310841,	0	Efhd1	cmpl	cmpl	0,2,0,0,
156	NM_001111314	chr1	-	87476828	87573870	87477553	87546058	15	87476828,87479102,87479836,87480586,87481115,87482622,87484598,87486155,87487798,87489583,87503265,87509244,87540658,87545796,87573687,	87477744,87479207,87479916,87480742,87481279,87482712,87484673,87486285,87487951,87489744,87503573,87509387,87540773,87546131,87573870,	0	Ngef	cmpl	cmpl	1,1,2,2,0,0,0,2,2,0,1,2,1,0,-1,
157	NM_201642	chr1	+	88095000	88220002	88095120	88218424	5	88095000,88215043,88215794,88216137,88218126,	88095978,88215175,88215882,88216357,88220002,	0	Ugt1a7c	cmpl	cmpl	0,0,0,1,2,
157	NM_201410	chr1	+	88103256	88218998	88106941	88218424	6	88103256,88106940,88215043,88215794,88216137,88218126,	88103378,88107799,88215175,88215882,88216357,88218998,	0	Ugt1a6b	cmpl	cmpl	-1,0,0,0,1,2,
157	NM_145079	chr1	+	88134808	88220002	88138473	88218424	6	88134808,88138472,88215043,88215794,88216137,88218126,	88134935,88139331,88215175,88215882,88216357,88220002,	0	Ugt1a6a	cmpl	cmpl	-1,0,0,0,1,2,
157	NM_201643	chr1	+	88166011	88220002	88166051	88218424	5	88166011,88215043,88215794,88216137,88218126,	88166903,88215175,88215882,88216357,88220002,	0	Ugt1a5	cmpl	cmpl	0,0,0,1,2,
157	NM_013701	chr1	+	88200610	88220002	88200636	88218424	5	88200610,88215043,88215794,88216137,88218126,	88201500,88215175,88215882,88216357,88220002,	0	Ugt1a2	cmpl	cmpl	0,0,0,1,2,
158	NM_001037136	chr1	+	89454810	89895282	89455429	89888894	17	89454810,89604597,89609495,89627760,89630387,89634159,89663660,89665033,89671178,89725960,89743727,89789162,89834433,89837711,89843020,89887505,89888690,	89455592,89604656,89609583,89627846,89630529,89634294,89663788,89665189,89671271,89726065,89743896,89789324,89834588,89837802,89843243,89887761,89895282,	0	Agap1	cmpl	cmpl	0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,2,0,
159	NM_001111311	chr1	+	91053443	91117322	91053657	91116064	8	91053443,91068562,91100576,91101184,91105126,91107297,91112155,91114595,	91053723,91068649,91100612,91101310,91105297,91107390,91112297,91117322,	0	Lrrfip1	cmpl	cmpl	0,0,0,0,0,0,0,1,
161	NM_001110315	chr1	-	93015454	93101874	93018456	93082421	47	93015454,93018951,93019806,93020457,93021212,93021725,93022320,93022925,93023458,93024578,93025620,93036845,93039034,93039216,93039744,93040618,93041573,93042084,93042342,93042615,93043588,93046651,93052423,93054259,93054815,93055684,93055956,93056099,93058813,93060196,93060737,93062499,93062866,93064148,93066046,93067055,93068484,93072307,93073038,93073807,93074955,93076150,93077041,93077687,93078760,93082315,93101762,	93018499,93019070,93019999,93020610,93021337,93021803,93022521,93023071,93023520,93024712,93025735,93036951,93039119,93039283,93039853,93040674,93041692,93042175,93042511,93042754,93043674,93046770,93052561,93054438,93054964,93055778,93056029,93056280,93058897,93060303,93060817,93062575,93062946,93064282,93066189,93067134,93068560,93072325,93073104,93073885,93075067,93076329,93077107,93077867,93078837,93082480,93101874,	0	Kif1a	cmpl	cmpl	2,0,2,2,0,0,0,1,2,0,2,1,0,2,1,2,0,2,1,0,1,2,2,0,1,0,2,1,1,2,0,2,0,1,2,1,0,0,0,0,2,0,0,0,1,0,-1,
